Library Version = 7.0

Number of Alloys = 482

Index, Alloy Name,Bal,,Be,,B,,C,,Mg,,Al,,Si,,P,,S,,Ti,,V,,Cr,,Mn,,Fe,,Co,,Ni,,Cu,,Zn,,Se,,Zr,,Nb,,Mo,,Pd,,Ag,,Sn,,Sb,,Hf,,Ta,,W,,Re,,Pb,,Bi,,
,,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,
19,LA-6150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.520000,0.000000,0.000000,0.000000,0.000000,0.150000,0.300000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.150000,0.500000,0.800000,1.100000,0.700000,0.900000,95.000000,98.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20,LA-6418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.230000,0.280000,0.000000,0.000000,0.000000,0.000000,1.300000,1.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.400000,1.200000,1.500000,94.000000,97.000000,0.000000,0.000000,1.650000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,LA-8740/8620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,0.430000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.400000,0.600000,0.750000,1.000000,96.000000,98.000000,0.000000,0.000000,0.400000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22,LA-86L20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350000,0.650000,0.600000,0.950000,96.000000,98.500000,0.000000,0.000000,0.350000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.500000,0.000000,0.000000,
23,LA-8822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.250000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.400000,0.600000,0.750000,1.000000,95.000000,98.000000,0.000000,0.000000,0.400000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
24,LA-9310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.130000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.450000,0.400000,0.700000,93.000000,97.000000,0.000000,0.000000,2.950000,3.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
25,LA-52100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.980000,1.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.350000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,1.300000,1.600000,0.250000,0.450000,95.000000,97.500000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
26,LA-A193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000,0.440000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.250000,0.350000,0.800000,1.150000,0.450000,0.700000,95.000000,98.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
27,LA-A485-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.900000,1.040000,0.000000,0.000000,0.000000,0.000000,0.450000,0.750000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.900000,1.200000,0.950000,1.250000,95.000000,98.500000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
28,LA-A710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.600000,0.900000,0.400000,0.700000,95.000000,98.000000,0.000000,0.000000,0.700000,1.000000,1.000000,1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
29,LA-HY80,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,1.000000,1.800000,0.100000,0.400000,93.000000,96.000000,0.000000,0.000000,2.000000,3.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
30,LA-HY140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.400000,0.600000,0.600000,0.900000,92.000000,96.000000,0.000000,0.000000,5.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
31,LA-LF-3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.200000,0.350000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.900000,94.000000,97.000000,0.000000,0.000000,3.250000,3.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
32,LA-N,alloy 135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.430000,0.000000,0.000000,0.950000,1.300000,0.200000,0.400000,0.000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,1.400000,1.800000,0.500000,0.800000,93.000000,98.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
33,Pyro 53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,1.250000,0.250000,0.500000,88.000000,92.000000,0.000000,0.000000,1.600000,2.400000,1.800000,2.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
34,C-1/2 Mo,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.600000,0.900000,97.500000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.440000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
